Name,Ticker,Coupon,Maturity,Maturity Type,Country/Region,Currency,Identifier,Bloomberg Composite Rating,Ask Price,Ask Yield to Maturity,Bid Price,Bid Yield to Maturity,Source
United States Treasury Note/Bond,T,2.375,11/15/2049,NORMAL,US,USD,912810SK5,NR,63.140625,5.023,63.078125,5.02868243,BGN
United States Treasury Note/Bond,T,2.25,8/15/2049,NORMAL,US,USD,912810SJ8,NR,61.5625,5.027,61.484375,5.035092327,BGN
United States Treasury Note/Bond,T,2.875,5/15/2049,NORMAL,US,USD,912810SH2,NR,70.5625,5.010,70.46875,5.018450004,BGN
United States Treasury Note/Bond,T,3,2/15/2049,NORMAL,US,USD,912810SF6,NR,72.46875,5.008,72.390625,5.014656604,BGN
United States Treasury Note/Bond,T,3.375,11/15/2048,NORMAL,US,USD,912810SE9,NR,77.859375,4.997,77.765625,5.00488855,BGN
United States Treasury Note/Bond,T,3,8/15/2048,NORMAL,US,USD,912810SD1,NR,72.828125,5.00353,72.75,5.01062996,BGN
United States Treasury Note/Bond,T,3.125,5/15/2048,NORMAL,US,USD,912810SC3,NR,74.71875,4.999,74.625,5.007560528,BGN
United States Treasury Note/Bond,T,3,2/15/2048,NORMAL,US,USD,912810SA7,NR,73.171875,5.0015,73.109375,5.007265061,BGN
United States Treasury Note/Bond,T,2.75,11/15/2047,NORMAL,US,USD,912810RZ3,NR,70.03125,4.999,69.953125,5.006217148,BGN
United States Treasury Note/Bond,T,2.75,8/15/2047,NORMAL,US,USD,912810RY6,NR,70.21875,4.999,70.140625,5.006449456,BGN
United States Treasury Note/Bond,T,3,5/15/2047,NORMAL,US,USD,912810RX8,NR,73.859375,4.984,73.765625,4.992363053,BGN
United States Treasury Note/Bond,T,3,2/15/2047,NORMAL,US,USD,912810RV2,NR,74.078125,4.979,73.984375,4.988112042,BGN
United States Treasury Note/Bond,T,2.875,11/15/2046,NORMAL,US,USD,912810RU4,NR,72.625,4.979,72.53125,4.987801391,BGN
United States Treasury Note/Bond,T,2.25,8/15/2046,NORMAL,US,USD,912810RT7,NR,64.59375,4.993,64.5,5.003042038,BGN
United States Treasury Note/Bond,T,2.5,5/15/2046,NORMAL,US,USD,912810RS9,NR,68.171875,4.980,68.078125,4.9894361,BGN
United States Treasury Note/Bond,T,2.5,2/15/2046,NORMAL,US,USD,912810RQ3,NR,68.390625,4.981,68.296875,4.9901214,BGN
United States Treasury Note/Bond,T,3,11/15/2045,NORMAL,US,USD,912810RP5,NR,75.1875,4.957,75.09375,4.9659467,BGN
United States Treasury Note/Bond,T,4.875,8/15/2045,NORMAL,US,USD,912810UN6,#N/A N/A,99.796875,4.891,99.78125,4.8920906,BGN
United States Treasury Note/Bond,T,2.875,8/15/2045,NORMAL,US,USD,912810RN0,NR,73.765625,4.960,73.671875,4.9692924,BGN
United States Treasury Note/Bond,T,5,5/15/2045,NORMAL,US,USD,912810UL0,NR,101.34375,4.8924,101.3125,4.8948725,BGN
United States Treasury Note/Bond,T,3,5/15/2045,NORMAL,US,USD,912810RM2,NR,75.625,4.950,75.515625,4.960467994,BGN
United States Treasury Note/Bond,T,4.75,2/15/2045,NORMAL,US,USD,912810UJ5,NR,98.1875,4.895,98.15625,4.8978646,BGN
United States Treasury Note/Bond,T,2.5,2/15/2045,NORMAL,US,USD,912810RK6,NR,69.5,4.961,69.375,4.9739955,BGN
United States Treasury Note/Bond,T,4.625,11/15/2044,NORMAL,US,USD,912810UF3,NR,96.703125,4.8910,96.65625,4.8949195,BGN
United States Treasury Note/Bond,T,3,11/15/2044,NORMAL,US,USD,912810RJ9,NR,76.109375,4.939,76.015625,4.9481914,BGN
United States Treasury Note/Bond,T,4.125,8/15/2044,NORMAL,US,USD,912810UD8,NR,90.515625,4.898,90.46875,4.9024885,BGN
United States Treasury Note/Bond,T,3.125,8/15/2044,NORMAL,US,USD,912810RH3,NR,77.9375,4.929,77.828125,4.93921185,BGN
United States Treasury Note/Bond,T,4.625,5/15/2044,NORMAL,US,USD,912810UB2,NR,96.96875,4.8732,96.921875,4.8771066,BGN
United States Treasury Note/Bond,T,3.375,5/15/2044,NORMAL,US,USD,912810RG5,NR,81.296875,4.9144,81.1875,4.924710415,BGN
United States Treasury Note/Bond,T,4.5,2/15/2044,NORMAL,US,USD,912810TZ1,NR,95.5625,4.867,95.5,4.8721724,BGN
United States Treasury Note/Bond,T,3.625,2/15/2044,NORMAL,US,USD,912810RE0,NR,84.609375,4.901,84.515625,4.9098562,BGN
United States Treasury Note/Bond,T,4.75,11/15/2043,NORMAL,US,USD,912810TW8,NR,98.78125,4.8509,98.734375,4.8548822,BGN
United States Treasury Note/Bond,T,3.75,11/15/2043,NORMAL,US,USD,912810RD2,NR,86.328125,4.8921,86.25,4.899321982,BGN
United States Treasury Note/Bond,T,4.375,8/15/2043,NORMAL,US,USD,912810TU2,NR,94.28125,4.856,94.21875,4.8610374,BGN
United States Treasury Note/Bond,T,3.625,8/15/2043,NORMAL,US,USD,912810RC4,NR,85.09375,4.880,84.984375,4.890533473,BGN
United States Treasury Note/Bond,T,3.875,5/15/2043,NORMAL,US,USD,912810TS7,NR,88.40625,4.858,88.328125,4.8651207,BGN
United States Treasury Note/Bond,T,2.875,5/15/2043,NORMAL,US,USD,912810RB6,NR,76.265625,4.8934,76.15625,4.904389846,BGN
United States Treasury Note/Bond,T,3.875,2/15/2043,NORMAL,US,USD,912810TQ1,NR,88.625,4.848,88.53125,4.8564279,BGN
United States Treasury Note/Bond,T,3.125,2/15/2043,NORMAL,US,USD,912810QZ4,NR,79.546875,4.878,79.4375,4.889115751,BGN
United States Treasury Note/Bond,T,4,11/15/2042,NORMAL,US,USD,912810TM0,NR,90.34375,4.8321,90.25,4.8407071,BGN
United States Treasury Note/Bond,T,2.75,11/15/2042,NORMAL,US,USD,912810QY7,NR,75.421875,4.876,75.296875,4.8886734,BGN
